<<MagicLearning[Model:defaultModel]>>;EN;ES;FR;
Académie;0.0;0.0;0.0;
According;0.0;0.0;0.0;
Accordingly;0.0;0.0;0.0;
Actualmente;0.0;0.0;0.0;
Adamante;0.0;0.0;0.0;
Adeimantos;0.0;0.0;0.0;
Adeimantus;0.0;0.0;0.0;
Adimante;0.0;0.0;0.0;
Adimanto;0.0;0.0;0.0;
Adjectifs;0.0;0.0;0.0;
Aegina[c];0.0;0.0;0.0;
Aevi;0.0;0.0;0.0;
Aevi143;0.0;0.0;0.0;
After;0.0;0.0;0.0;
Ages;0.0;0.0;0.0;
Agon:;0.0;0.0;0.0;
Agora;0.0;0.0;0.0;
Agustín;0.0;0.0;0.0;
Agustín.;0.0;0.0;0.0;
Ainsi;0.0;0.0;0.0;
Al-Farabi;0.0;0.0;0.0;
Al-Fârâbî);0.0;0.0;0.0;
Alain;0.0;0.0;0.0;
Albert;0.0;0.0;0.0;
Alcibiades;1.0;0.0;-1.0;
Alcibíades;0.0;0.0;0.0;
Alexander;0.0;0.0;0.0;
Alexandre;0.0;0.0;0.0;
Alexandrian.[53];0.0;0.0;0.0;
Alfred;0.0;1.0;-1.0;
Algunas;0.0;0.0;0.0;
All;0.0;0.0;0.0;
Allegorical;1.0;-1.0;0.0;
Allegories;0.0;0.0;0.0;
Allegory;0.0;0.0;0.0;
Allégorie;0.0;0.0;0.0;
Along;0.0;0.0;0.0;
Alonzo;0.0;0.0;0.0;
Alors;0.0;-1.0;1.0;
Although;0.0;0.0;0.0;
Alumno;0.0;1.0;-1.0;
Among;0.0;0.0;0.0;
Amyntas;0.0;0.0;0.0;
Analogie;0.0;0.0;0.0;
Anaxagore;0.0;0.0;0.0;
Anaxágoras;0.0;0.0;0.0;
Ancient;0.0;0.0;0.0;
And;0.0;0.0;0.0;
Anneau;0.0;0.0;0.0;
Anniceris[49];0.0;0.0;0.0;
Anníceris;0.0;0.0;0.0;
Another;0.0;0.0;0.0;
Antifonte;0.0;0.0;0.0;
Antigua;0.0;0.0;0.0;
Antiphon;0.0;0.0;0.0;
Antisthène;0.0;0.0;0.0;
Anytos;0.0;0.0;0.0;
Anytus;0.0;0.0;0.0;
Apamea;0.0;0.0;0.0;
Aphrodisias;0.0;0.0;0.0;
Apocrypha.;0.0;0.0;0.0;
Apollo;0.0;0.0;0.0;
Apollodorus;0.0;0.0;0.0;
Apologie;0.0;0.0;0.0;
Apology;1.0;0.0;-1.0;
Apología;0.0;0.0;0.0;
Appendix;0.0;0.0;0.0;
Après;0.0;0.0;0.0;
Apuleius;0.0;0.0;0.0;
Apulée;0.0;0.0;0.0;
Apulée.;0.0;0.0;0.0;
Aquellos;0.0;0.0;0.0;
Aquinas;0.0;0.0;0.0;
Arab;0.0;0.0;0.0;
Arabic;0.0;0.0;0.0;
Arcadian;0.0;0.0;0.0;
Arcadie;0.0;0.0;0.0;
Archon;0.0;0.0;0.0;
Archytas;0.0;0.0;0.0;
Arethas;0.0;0.0;0.0;
Arethas.[126][127][128]A;0.0;0.0;0.0;
Argos;0.0;0.0;0.0;
Arisitipo;0.0;0.0;0.0;
Aristippe;0.0;0.0;0.0;
Aristocles;0.0;0.0;0.0;
Aristocles.9;0.0;0.0;0.0;
Aristoclès;0.0;0.0;0.0;
Aristocracia;0.0;1.0;-1.0;
Aristocracy;0.0;0.0;0.0;
Aristodemus;0.0;0.0;0.0;
Ariston;0.0;0.0;0.0;
Ariston.;0.0;0.0;0.0;
Ariston9;0.0;0.0;0.0;
Aristonymos;0.0;0.0;0.0;
Aristophane;0.0;0.0;0.0;
Aristophanes;0.0;0.0;0.0;
Aristophanes);0.0;0.0;0.0;
Aristote;0.0;0.0;0.0;
Aristote.;0.0;0.0;0.0;
Aristotep.;0.0;0.0;0.0;
Aristotle;0.0;0.0;0.0;
Aristotle's;0.0;0.0;0.0;
Aristotle's.;0.0;0.0;0.0;
Aristotle.[46][47];0.0;0.0;0.0;
Aristoxenus;0.0;0.0;0.0;
Aristón;0.0;0.0;0.0;
Aristóteles;0.0;0.0;0.0;
Aristóteles.;0.0;0.0;0.0;
Aristóteles.4;0.0;0.0;0.0;
Arquitas;0.0;0.0;0.0;
Artesanos;0.0;1.0;-1.0;
Article;-0.5;0.0;0.5;
Articles;0.0;0.0;0.0;
Artículo;0.0;1.0;-1.0;
Así;0.0;0.0;0.0;
Atenas;0.0;1.0;-1.0;
Atenas.18;0.0;0.0;0.0;
Atenas1;0.0;0.0;0.0;
Atenea.;0.0;0.0;0.0;
Athenian;0.0;0.0;0.0;
Athens;1.0;-1.0;0.0;
Athens.;0.0;0.0;0.0;
Athens.[27];0.0;0.0;0.0;
Athènes;0.0;0.0;0.0;
Athènes.;0.0;0.0;0.0;
Athénée;0.0;0.0;0.0;
Atlantes;0.0;0.0;0.0;
Atlantide;0.0;0.0;0.0;
Atlantide.;0.0;0.0;0.0;
Atlantis;0.0;0.0;0.0;
Atlántida;0.0;0.0;0.0;
Attic;0.0;0.0;0.0;
Atticus;0.0;0.0;0.0;
Augustin;0.0;0.0;0.0;
Augustine;0.0;0.0;0.0;
Aussi;0.0;0.0;0.0;
Averroes;0.0;0.0;0.0;
Averroès.;0.0;0.0;0.0;
Avicenna;0.0;0.0;0.0;
Axiochus;1.0;0.0;-1.0;
Axiothée;0.0;0.0;0.0;
BC);0.0;0.0;0.0;
BC).[17];0.0;0.0;0.0;
BC.;0.0;0.0;0.0;
Banquet;0.0;0.0;0.0;
Banquete;0.0;0.0;0.0;
Based;0.0;0.0;0.0;
Beau;0.0;-1.0;1.0;
Beau.;0.0;0.0;0.0;
Beauté;0.0;0.0;0.0;
Because;0.0;0.0;0.0;
Being;0.0;0.0;0.0;
Berlinghieri;0.0;0.0;0.0;
Bertrand;0.0;0.0;0.0;
Besides;0.0;0.0;0.0;
Bessarion;0.0;0.0;0.0;
Beyond;0.0;0.0;0.0;
Bible;0.0;0.0;0.0;
Bien;0.0;0.0;0.0;
Bien.;0.0;0.0;0.0;
Bienp.;0.0;0.0;0.0;
Biografía;0.0;1.0;-1.0;
Biographie[modifier;0.0;0.0;0.0;
Biography;1.0;0.0;-1.0;
Birth;0.0;0.0;0.0;
Bizancio;0.0;1.0;-1.0;
Blackburn;0.0;0.0;0.0;
Bloom;0.0;0.0;0.0;
Boleianus;0.0;0.0;0.0;
Bon;0.0;0.0;0.0;
Book;0.0;0.0;0.0;
Born	428/427;1.0;0.0;-1.0;
Borody;0.0;0.0;0.0;
Bouveresse.;0.0;0.0;0.0;
Boèce;0.0;0.0;0.0;
Brisson;0.0;0.0;0.0;
Brisson.;0.0;0.0;0.0;
Burnet;0.0;0.0;0.0;
Buste;0.0;0.0;0.0;
Busto;0.0;0.0;0.0;
But;0.0;0.0;0.0;
Byzantine;0.0;0.0;0.0;
Byzantium;0.0;0.0;0.0;
Byzantium);0.0;0.0;0.0;
C'est;0.0;0.0;0.0;
C.)3;0.0;0.0;0.0;
C.-347;0.0;1.0;-1.0;
Cabe;0.0;0.0;0.0;
Cada;0.0;0.0;0.0;
Caesarea.;0.0;0.0;0.0;
Calcidius;0.0;0.0;0.0;
Caliclès;0.0;0.0;0.0;
Calippus;0.0;0.0;0.0;
Callias;0.0;0.0;0.0;
Calligrapher;0.0;0.0;0.0;
Callippe;0.0;0.0;0.0;
Cambridge;0.0;0.0;0.0;
Campbell;0.0;0.0;0.0;
Campbell's;0.0;0.0;0.0;
Capitolini;0.0;0.0;0.0;
Car;0.0;0.0;0.0;
Carl;0.0;0.0;0.0;
Carta;0.0;0.0;0.0;
Cartas;0.0;0.0;0.0;
Castor;0.0;0.0;0.0;
Catégorie;0.0;0.0;0.0;
Causes;0.0;0.0;0.0;
Cave;0.0;0.0;0.0;
Ceci;0.0;0.0;0.0;
Centrale;0.0;0.0;0.0;
Certains;0.0;0.0;0.0;
Ces;0.0;0.0;0.0;
Cet;0.0;0.0;0.0;
Cette;0.0;0.0;0.0;
Chacune;0.0;0.0;0.0;
Chaque;0.0;0.0;0.0;
Chariot;0.0;0.0;0.0;
Charles;0.0;0.0;0.0;
Charmadas.;0.0;0.0;0.0;
